title,amount,due date,link
Pacific Gas & Electric Company Black ERG Scholarship ,"$5,000 ",02/05/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/pacific-gas-and-electric-company-black-erg-scholarship
Palo Alto Rotary Club Vocational Scholarships ,"$2,000 ",03/01/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/palo-alto-rotary-club-vocational-scholarships
Pepsi-Cola Bottling of Eastern Oregon Scholarship ,"$1,000 ",02/01/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/pepsi-cola-bottling-of-eastern-oregon-scholarship
PG&E Better Together STEM Scholarship Program,"$1,000 ",02/05/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/pgande-better-together-stem-scholarship-program
Phoenix AISES Scholarship,"$1,000 ",07/31/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/phoenix-aises-scholarship
PMI Alaska Chapter Scholarship ,"$2,500 ",05/02/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/pmi-alaska-chapter-scholarship
PMI New York City Chapter Scholarship,"$2,500 ",05/02/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/pmi-new-york-city-chapter-scholarship
PMI Robert J. Yourzak Scholarship Award,"$2,000 ",05/01/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/pmi-robert-j-yourzak-scholarship-award
PMI Tulsa Chapter Scholarship ,"$2,500 ",05/02/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/pmi-tulsa-chapter-scholarship
PSGC Graduate Research Fellowship Program at Penn State ,"$5,000 ",03/01/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/psgc-graduate-research-fellowship-program-at-penn-state
PSGC Undergraduate Scholarship,"$4,000 ",03/01/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/psgc-undergraduate-scholarship
Richard S. Thompson and Marion L. Thompson Memorial Fund,"$10,000 ",02/24/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/richard-s-thompson-and-marion-l-thompson-memorial-fund
Richard T. Gates Engineering and Technology Endowed Challenge Scholarship,"$4,000 ",03/16/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/richard-t-gates-engineering-and-technology-endowed-challenge-scholarship
RMEL ,"$3,000 ",02/08/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/rmel
Robert W. Lyons Scholarship,"$5,000 ",02/28/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/robert-w-lyons-scholarship
Roy E. Jorgensen Memorial Scholarship,"$15,000 ",07/31/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/roy-e-jorgensen-memorial-scholarship
SAE/Ford Partnership for Advanced Studies Scholarship,"$5,000 ",03/15/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/sae-ford-partnership-for-advanced-studies-scholarship
Samsung@First Scholars,"$15,000 ",03/20/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/samsungfirst-scholars
Scarlett Family Foundation,"$15,000 ",12/15/2019,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/scarlett-family-foundation
Scarlett Family Foundation Scholarship,"$60,000 ",12/15/2019,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/scarlett-family-foundation-scholarship
SEMA Memorial Scholarship Fund,"$5,000 ",03/01/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/sema-memorial-scholarship-fund
SMA Native American STEM Scholarship,"$1,500 ",06/15/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/sma-native-american-stem-scholarship
SMRPCO Dorothy and Jack Nicholas Scholarship,"$2,000 ",06/02/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/smrpco-dorothy-and-jack-nicholas-scholarship
Society of Plastics Engineers Foundation Scholarship,"$6,000 ",04/01/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/society-of-plastics-engineers-foundation-scholarship
Society of Women Engineers - Lehigh Valley Section,"$5,000 ",02/02/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/society-of-women-engineers-lehigh-valley-section
Society of Women Engineers (SWE) Scholarship Program,"$10,000 ",Varies,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/society-of-women-engineers-swe-scholarship-program
Society of Women Engineers Sophomore-Graduate Scholarships,Varies ,02/15/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/society-of-women-engineers-sophomore-graduate-scholarships
Spirit of Ramanujan STEM Talent Initiative,"$5,000 ",12/31/2019,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/spirit-of-ramanujan-stem-talent-initiative
Starlite Group Scholarship,"$1,000 ",04/20/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/starlite-group-scholarship
Tennessee Valley Interstellar Workshop Scholarship,"$2,500 ",05/15/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/tennessee-valley-interstellar-workshop-scholarship
Texas - UK Award,Varies ,01/31/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/texas-uk-award
The Collegiate Inventors Competition,"$100,000 ",06/14/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/the-collegiate-inventors-competition
The Craig & Galen Brown Foundation Scholarship,Varies ,12/01/2019,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/the-craig-and-galen-brown-foundation-scholarship
The John Grossheim Memorial Scholarship (OPC Endowment),"$3,500 ",03/31/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/the-john-grossheim-memorial-scholarship-opc-endowment
The Robert Noyce Scholarship,"$30,000 ",01/12/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/the-robert-noyce-scholarship
The Skylands Energy Scholarship,"$10,000 ",07/15/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/the-skylands-energy-scholarship
